Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~32直立车-工程.PrjPcb|ReportField=ProjectFullPath~F:\System\Documents\GitHub\Balance_Car_C8T6\32直立小车电路设计\解决连线巨卡问题\32直立车-工程.PrjPcb|ReportField=Title~Bill of Materials For Project [32直立车-工程.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~120|ReportField=ReportTime~12:24:37|ReportField=ReportDate~2017/8/25|ReportField=ReportDateTime~2017/8/25 12:24:37|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2017/8/25|ReportField=CurrentTime~12:16:35|ReportField=Date~|ReportField=DocumentFullPathAndName~F:\System\Documents\GitHub\Balance_Car_C8T6\32直立小车电路设计\解决连线巨卡问题\32直立车-原理图.SchDoc|ReportField=DocumentName~32直立车-原理图.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2017/8/24|ReportField=Organization~|ReportField=ProjectName~32直立车-工程.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~32直立车-工程.PrjPcb|ReportField=DataSourceFullPath~F:\System\Documents\GitHub\Balance_Car_C8T6\32直立小车电路设计\解决连线巨卡问题\32直立车-工程.PrjPcb
1|Power12||12V-IN|VBAT-2|Power12|1
2|Motor Servo|Servo Motor|B1, B2|电机接口 - duplicate|Motor Servo|2
3|107/12V|Chip Capacitor, Silkscreen Border|C1, C8|CAPC4532[1812]|Cap Chip 2|2
4|470nF|Chip Capacitor, Silkscreen Border|C2, C9|CAPC1608[0603]|Cap Chip 2|2
5|104|Chip Capacitor, Silkscreen Border, Chip Capacitor, Silkscreen Border, Chip Capacitor, Silkscreen Border, Chip Capacitor, Silkscreen Border, Chip Capacitor, PSpice Model, Chip Capacitor, PSpice Model, Chip Capacitor, PSpice Model, Chip Capacitor, PSpice Model, Chip Capacitor, Silkscreen Border, Chip Capacitor, Silkscreen Border, Chip Capacitor, Silkscreen Border, Chip Capacitor, Silkscreen Border, Chip Capacitor, Silkscreen Border, Chip Capacitor, Silkscreen Border, Chip Capacitor, Silkscreen Border, Chip Capacitor, Silkscreen Border, [NoValue]|C3, C6, C10, C13, C32, C33, C34, C40, C41, C42, C50, C51, C52, C53, C54, C55, C64|CAPC1608[0603]|Cap Chip 2, Cap Chip 2, Cap Chip 2, Cap Chip 2, Cap Chip 1, Cap Chip 1, Cap Chip 1, Cap Chip 1, Cap Chip 2, Cap Chip 2, Cap Chip 2, Cap Chip 2, Cap Chip 2, Cap Chip 2, Cap Chip 2, Cap Chip 2, ECAP|17
6|105/12V|Chip Capacitor, Silkscreen Border|C4, C7, C11, C14|CAPC1608[0603]|Cap Chip 2|4
7|106/12V|Chip Capacitor, Silkscreen Border|C5, C12|CAPC2012[0805]|Cap Chip 2|2
8|220uF/12V|Chip Capacitor, PSpice Model|C30|CAPT7343|Cap Chip 1|1
9|22uF/12V|Chip Capacitor, PSpice Model|C31|CAPC2012[0805]|Cap Chip 1|1
10|102|Chip Capacitor, PSpice Model|C35|CAPC1608[0603]|Cap Chip 1|1
11|22uF|Chip Capacitor, PSpice Model|C36, C37|CAPC2012[0805]|Cap Chip 1|2
